Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.75973918,42.02069547,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,1,7/2/2025,0.205,On,1095.4,110.00,5.625,7.105,2.138,5.825,37.13,15.00,13.13,0,1,94.81,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.501,0.00015,1.750,7.383e-05,12.72,0.069,1.969,8.306e-05,21.01,0.00089,0.00,0.00,0.00,1.641,0.164,1.313,0.00,0.00,0.0054
-93.75973456,42.02070007,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,2,7/2/2025,0.195,On,1095.4,111.25,5.000,7.069,2.023,5.706,37.63,15.00,11.92,0,1,95.39,7/2/2025,Under Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.179,0.00013,1.589,6.416e-05,11.55,0.060,1.788,7.218e-05,19.07,0.00077,0.00,0.00,0.00,1.490,0.149,1.192,0.00,0.00,0.0052
-93.75973021,42.02070472,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,3,7/2/2025,0.205,On,1095.3,112.50,4.375,7.082,2.131,6.069,38.25,15.00,13.21,0,1,96.67,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.524,0.00015,1.762,7.577e-05,12.80,0.070,1.982,8.524e-05,21.14,0.00091,0.00,0.00,0.00,1.652,0.165,1.321,0.00,0.00,0.0055
-93.75972548,42.02070928,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,4,7/2/2025,0.195,On,1095.3,115.00,3.125,7.080,2.026,6.565,38.74,15.00,15.97,0,1,98.76,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.259,0.00018,2.130,8.901e-05,15.47,0.083,2.396,0.00010,25.56,0.0011,0.00,0.00,0.00,1.996,0.200,1.597,0.00,0.00,0.0053
-93.75972072,42.02071396,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,5,7/2/2025,0.200,On,1095.3,117.50,1.875,7.105,2.085,6.201,39.32,15.00,14.85,0,1,101.26,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.960,0.00017,1.980,8.701e-05,14.38,0.081,2.227,9.789e-05,23.76,0.0010,0.00,0.00,0.00,1.856,0.186,1.485,0.00,0.00,0.0056
-93.75971596,42.02071859,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,6,7/2/2025,0.200,On,1095.3,120.00,0.625,7.163,2.102,6.512,39.95,15.00,14.15,0,1,104.22,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.775,0.00017,1.887,8.537e-05,13.71,0.079,2.123,9.604e-05,22.65,0.0010,0.00,0.00,0.00,1.769,0.177,1.415,0.00,0.00,0.0058
-93.75969069,42.02074193,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,7,7/2/2025,1.000,On,1095.3,121.25,0.00,7.276,10.67,6.367,42.85,15.00,14.93,0,1,106.95,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.981,0.00092,1.991,0.00046,14.46,0.430,2.240,0.00052,23.89,0.0055,0.00,0.00,0.00,1.866,0.187,1.493,0.00,0.00,0.030
-93.75966241,42.02076477,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,8,7/2/2025,1.000,On,1095.2,121.25,0.00,7.639,11.20,6.422,44.41,15.00,14.89,0,1,112.28,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.970,0.00097,1.985,0.00048,14.42,0.450,2.233,0.00054,23.82,0.0058,0.00,0.00,0.00,1.861,0.186,1.489,0.00,0.00,0.031
-93.75963256,42.02078726,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,9,7/2/2025,1.000,On,1095.1,121.25,0.00,7.826,11.49,5.478,46.61,15.00,14.91,0,1,115.11,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.976,0.00099,1.988,0.00050,14.44,0.462,2.236,0.00056,23.85,0.0060,0.00,0.00,0.00,1.864,0.186,1.491,0.00,0.00,0.032
-93.75960270,42.02080911,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,10,7/2/2025,1.000,On,1094.9,121.25,0.00,7.826,11.48,5.026,51.99,15.00,14.95,0,1,115.07,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.988,0.00100,1.994,0.00050,14.49,0.463,2.243,0.00056,23.93,0.0060,0.00,0.00,0.00,1.869,0.187,1.495,0.00,0.00,0.032
-93.75957120,42.02082898,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,11,7/2/2025,1.000,On,1094.7,121.25,0.00,7.727,11.34,5.438,57.36,15.00,15.00,0,1,113.63,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.001,0.00099,2.000,0.00049,14.53,0.459,2.250,0.00055,24.01,0.0059,0.00,0.00,0.00,1.875,0.188,1.500,0.00,0.00,0.032
-93.75953636,42.02084633,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,12,7/2/2025,1.000,On,1094.4,121.25,0.00,7.701,11.30,5.339,59.76,15.00,14.95,0,1,113.20,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.986,0.00098,1.993,0.00049,14.48,0.455,2.242,0.00055,23.92,0.0059,0.00,0.00,0.00,1.868,0.187,1.495,0.00,0.00,0.031
-93.75950010,42.02086217,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,13,7/2/2025,1.000,On,1094.1,121.25,0.00,7.817,11.47,4.764,61.13,15.00,14.95,0,1,114.91,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.988,0.00099,1.994,0.00050,14.49,0.462,2.243,0.00056,23.93,0.0060,0.00,0.00,0.00,1.869,0.187,1.495,0.00,0.00,0.032
-93.75946388,42.02087772,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,14,7/2/2025,1.000,On,1093.8,121.25,0.00,7.761,11.39,5.178,62.19,15.00,14.96,0,1,114.09,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.990,0.00099,1.995,0.00049,14.49,0.459,2.244,0.00056,23.94,0.0059,0.00,0.00,0.00,1.870,0.187,1.496,0.00,0.00,0.032
-93.75942682,42.02089205,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,15,7/2/2025,1.000,On,1093.5,121.25,0.00,7.720,11.33,5.706,61.63,15.00,15.02,0,1,113.49,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.004,0.00099,2.002,0.00049,14.55,0.459,2.252,0.00055,24.03,0.0059,0.00,0.00,0.00,1.877,0.188,1.502,0.00,0.00,0.032
-93.75938900,42.02090685,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,16,7/2/2025,0.995,On,1093.3,121.25,0.00,7.836,11.44,5.705,61.11,15.00,14.97,0,1,115.19,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.992,0.00099,1.996,0.00050,14.50,0.462,2.246,0.00056,23.95,0.0060,0.00,0.00,0.00,1.871,0.187,1.497,0.00,0.00,0.032
-93.75935172,42.02092232,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,17,7/2/2025,1.005,On,1092.9,121.25,0.00,7.912,11.67,5.872,61.50,15.00,15.03,0,1,116.33,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.007,0.0010,2.003,0.00051,14.55,0.473,2.254,0.00057,24.04,0.0061,0.00,0.00,0.00,1.878,0.188,1.503,0.00,0.00,0.032
-93.75931376,42.02093805,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,18,7/2/2025,1.000,On,1092.7,121.25,0.00,7.955,11.67,5.870,61.39,15.00,15.04,0,1,116.91,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.012,0.0010,2.006,0.00051,14.57,0.473,2.257,0.00057,24.07,0.0061,0.00,0.00,0.00,1.881,0.188,1.504,0.00,0.00,0.032
-93.75927566,42.02095283,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,19,7/2/2025,0.995,On,1092.4,121.25,0.00,7.983,11.65,6.454,60.07,15.00,14.97,0,1,117.34,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.992,0.0010,1.996,0.00051,14.50,0.470,2.245,0.00057,23.95,0.0061,0.00,0.00,0.00,1.871,0.187,1.497,0.00,0.00,0.032
-93.75923695,42.02096917,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,20,7/2/2025,1.000,On,1092.3,121.25,0.00,8.143,11.94,5.831,59.34,15.00,15.00,0,1,119.68,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.001,0.0010,2.000,0.00052,14.53,0.483,2.251,0.00058,24.01,0.0062,0.00,0.00,0.00,1.875,0.188,1.500,0.00,0.00,0.033
-93.75919906,42.02098576,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,21,7/2/2025,1.000,On,1092.1,121.25,0.00,8.145,11.95,6.032,59.02,15.00,15.00,0,1,119.74,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.999,0.0010,2.000,0.00052,14.53,0.483,2.250,0.00058,24.00,0.0062,0.00,0.00,0.00,1.875,0.187,1.500,0.00,0.00,0.033
-93.75916067,42.02100307,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,22,7/2/2025,1.005,On,1092.0,121.25,0.00,8.256,12.17,5.860,59.16,15.00,14.89,0,1,121.37,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.971,0.0011,1.986,0.00053,14.43,0.489,2.234,0.00059,23.83,0.0063,0.00,0.00,0.00,1.862,0.186,1.489,0.00,0.00,0.034
-93.75912199,42.02102027,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,23,7/2/2025,1.000,On,1091.7,121.25,0.00,8.344,12.24,5.670,58.44,15.00,14.95,0,1,122.70,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.985,0.0011,1.993,0.00053,14.48,0.493,2.242,0.00060,23.91,0.0064,0.00,0.00,0.00,1.868,0.187,1.495,0.00,0.00,0.034
-93.75909852,42.02103056,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,24,7/2/2025,0.595,On,1091.5,121.25,0.00,8.323,7.264,5.611,57.40,15.00,14.96,0,1,122.33,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.990,0.00063,1.995,0.00032,14.49,0.293,2.244,0.00035,23.94,0.0038,0.00,0.00,0.00,1.870,0.187,1.496,0.00,0.00,0.020
-93.75905978,42.02104845,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,25,7/2/2025,1.000,On,1091.2,105.00,-8.125,8.429,12.36,5.259,56.14,15.00,15.08,0,1,107.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.020,0.00094,2.010,0.00047,14.60,0.435,2.261,0.00053,24.12,0.0056,0.00,0.00,0.00,1.884,0.188,1.508,0.00,0.00,0.030
-93.75902282,42.02106698,20,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1 & Ag Saver,26,7/2/2025,1.005,On,1090.9,105.00,-8.125,8.362,12.32,5.093,56.88,15.00,15.04,0,1,106.42,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.009,0.00093,2.005,0.00047,14.56,0.433,2.255,0.00052,24.06,0.0056,0.00,0.00,0.00,1.879,0.188,1.504,0.00,0.00,0.030
