Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.78163025,42.01980987,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,1,7/2/2025,0.200,On,1114.5,41.25,36.25,5.042,1.476,8.354,178.34,15.00,14.76,0,1,25.17,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.738,0.00026,3.937,4.300e-05,1.969,2.150e-05,14.05,0.020,0.00,0.00,23.62,0.00026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0014
-93.78163021,42.01980508,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,2,7/2/2025,0.195,On,1114.5,80.00,16.87,5.152,1.473,8.645,178.29,15.00,14.89,0,1,49.95,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.745,0.00050,3.971,8.394e-05,1.986,4.197e-05,14.17,0.038,0.00,0.00,23.83,0.00050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0027
-93.78162961,42.01979044,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,3,7/2/2025,0.600,On,1114.5,117.50,-1.875,5.563,4.882,8.000,178.18,15.00,14.86,0,1,79.01,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.743,0.0024,3.962,0.00041,1.981,0.00020,14.14,0.186,0.00,0.00,23.77,0.0024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.013
-93.78162845,42.01976420,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,4,7/2/2025,1.000,On,1114.4,118.75,-1.250,6.197,9.075,6.858,178.67,15.00,14.86,0,1,89.06,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.743,0.0046,3.963,0.00077,1.981,0.00038,14.14,0.350,0.00,0.00,23.78,0.0046,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.025
-93.78162712,42.01973694,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,5,7/2/2025,1.000,On,1114.4,118.75,-1.250,6.706,9.823,6.044,179.16,15.00,14.87,0,1,96.40,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.744,0.0050,3.966,0.00083,1.983,0.00041,14.15,0.379,0.00,0.00,23.80,0.0050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.027
-93.78162688,42.01970947,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,6,7/2/2025,1.000,On,1114.4,118.75,-1.250,6.720,9.846,7.283,178.92,15.00,14.98,0,1,96.63,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0050,3.994,0.00084,1.997,0.00042,14.25,0.382,0.00,0.00,23.96,0.0050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.027
-93.78162592,42.01968083,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,7,7/2/2025,1.000,On,1114.3,118.75,-1.250,6.975,10.22,6.628,179.57,15.00,14.92,0,1,100.30,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.746,0.0052,3.978,0.00087,1.989,0.00043,14.19,0.395,0.00,0.00,23.87,0.0052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.028
-93.78162538,42.01965186,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,8,7/2/2025,1.000,On,1114.2,118.75,-1.250,7.142,10.46,6.799,179.94,15.00,14.96,0,1,102.68,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0053,3.991,0.00089,1.995,0.00044,14.24,0.406,0.00,0.00,23.94,0.0053,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029
-93.78162564,42.01962237,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,9,7/2/2025,1.000,On,1114.3,118.75,-1.250,7.262,10.64,7.014,179.07,15.00,14.96,0,1,104.45,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0054,3.988,0.00090,1.994,0.00045,14.23,0.413,0.00,0.00,23.93,0.0054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029
-93.78162545,42.01959268,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,10,7/2/2025,1.000,On,1114.2,118.75,-1.250,7.336,10.75,7.110,179.36,15.00,14.95,0,1,105.55,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0055,3.987,0.00091,1.993,0.00046,14.22,0.417,0.00,0.00,23.92,0.0055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029
-93.78162450,42.01956288,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,11,7/2/2025,0.995,On,1114.2,118.75,-1.250,7.392,10.77,7.008,180.42,15.00,14.92,0,1,106.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.746,0.0055,3.980,0.00091,1.990,0.00046,14.20,0.417,0.00,0.00,23.88,0.0055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029
