Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.75870914,42.01759200,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,1,6/2/2025,0.999,On,1094.4,118.75,-1.250,3.794,5.561,6.868,179.56,19.99,19.76,0,1,54.63,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.952,0.00047,1.976,0.00023,19.18,0.291,2.964,0.00035,23.71,0.0028,0.00,0.00,0.00,2.470,0.247,1.976,0.00,0.00,0.015
-93.75870831,42.01756681,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,2,6/2/2025,1.000,On,1094.4,118.75,-1.250,5.035,7.254,7.543,180.19,19.99,19.85,0,1,71.19,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.971,0.00061,1.985,0.00031,19.27,0.381,2.978,0.00046,23.83,0.0037,0.00,0.00,0.00,2.482,0.248,1.985,0.00,0.00,0.020
-93.75870874,42.01754224,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,3,6/2/2025,0.996,On,1094.4,118.75,-1.250,6.300,9.190,3.521,179.75,19.99,19.51,0,1,90.55,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.901,0.00076,1.951,0.00038,18.93,0.474,2.926,0.00057,23.41,0.0046,0.00,0.00,0.00,2.438,0.244,1.951,0.00,0.00,0.025
-93.75870863,42.01751796,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,4,6/2/2025,1.004,On,1094.5,118.75,-1.250,5.974,8.799,5.400,179.68,19.99,19.92,0,1,86.01,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.984,0.00075,1.992,0.00037,19.33,0.464,2.988,0.00056,23.90,0.0045,0.00,0.00,0.00,2.490,0.249,1.992,0.00,0.00,0.024
-93.75870862,42.01749323,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,5,6/2/2025,1.000,On,1094.5,118.75,-1.250,6.020,8.825,6.371,179.27,19.99,19.89,0,1,86.61,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.978,0.00075,1.989,0.00037,19.30,0.464,2.983,0.00056,23.87,0.0045,0.00,0.00,0.00,2.486,0.249,1.989,0.00,0.00,0.024
-93.75870838,42.01746620,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,6,6/2/2025,1.000,On,1094.5,118.75,-1.250,6.425,9.419,6.424,179.95,19.99,19.90,0,1,92.44,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.981,0.00080,1.990,0.00040,19.32,0.496,2.985,0.00060,23.88,0.0048,0.00,0.00,0.00,2.488,0.249,1.990,0.00,0.00,0.026
-93.75870724,42.01743632,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,7,6/2/2025,1.001,On,1094.5,118.75,-1.250,7.013,10.28,7.982,181.57,19.99,19.87,0,1,100.74,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.973,0.00087,1.987,0.00043,19.28,0.540,2.980,0.00065,23.84,0.0052,0.00,0.00,0.00,2.483,0.248,1.987,0.00,0.00,0.028
-93.75870783,42.01740383,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,8,6/2/2025,0.999,On,1094.6,118.75,-1.250,7.756,11.37,6.343,181.89,19.99,19.70,0,1,111.68,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.940,0.00095,1.970,0.00048,19.12,0.592,2.955,0.00072,23.64,0.0057,0.00,0.00,0.00,2.462,0.246,1.970,0.00,0.00,0.031
-93.75870959,42.01737177,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,9,6/2/2025,1.000,On,1094.7,118.75,-1.250,8.059,11.82,5.835,180.53,19.99,19.70,0,1,115.98,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.940,0.00099,1.970,0.00050,19.12,0.616,2.955,0.00074,23.64,0.0059,0.00,0.00,0.00,2.462,0.246,1.970,0.00,0.00,0.032
-93.75871085,42.01733849,67,TaskName 6/2/2025 (GreenStar 4 Monitor),Surpass/agsaver/callisto/atrazine,10,6/2/2025,1.000,On,1094.7,118.75,-1.250,7.998,11.72,6.980,179.80,19.99,19.91,0,1,115.04,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.982,0.00099,1.991,0.00050,19.32,0.617,2.986,0.00075,23.89,0.0060,0.00,0.00,0.00,2.489,0.249,1.991,0.00,0.00,0.032
