Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.76668089,42.02190869,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,1,6/11/2025,1.001,On,1107.4,78.75,0.00,4.966,7.283,6.044,90.40,19.99,21.30,0,1,47.36,6/11/2025,Good,8.520,0.00088,3.195,0.00033,19.17,2.130,0.0070,4.260,0.00044,2.130,0.00022,20.63,0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.013
-93.76665099,42.02190899,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,2,6/11/2025,1.000,On,1107.4,78.75,0.00,5.242,7.664,6.018,90.49,19.99,22.74,0,1,49.88,6/11/2025,Good,9.096,0.00098,3.411,0.00037,20.47,2.274,0.0079,4.548,0.00049,2.274,0.00025,22.02,0.305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.014
-93.76661919,42.02190851,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,3,6/11/2025,0.999,On,1107.3,78.75,0.00,5.734,8.399,5.578,89.54,19.99,21.79,0,1,54.72,6/11/2025,Good,8.718,0.0010,3.269,0.00039,19.62,2.179,0.0083,4.359,0.00052,2.179,0.00026,21.11,0.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.015
-93.76658615,42.02190896,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,4,6/11/2025,1.001,On,1107.3,78.75,0.00,5.999,8.789,5.618,89.84,19.99,21.24,0,1,57.15,6/11/2025,Good,8.497,0.0011,3.187,0.00040,19.12,2.124,0.0084,4.249,0.00053,2.124,0.00026,20.57,0.327,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.016
-93.76655334,42.02190898,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,5,6/11/2025,0.995,On,1107.3,78.75,0.00,6.104,8.901,5.431,89.79,19.99,20.85,0,1,58.22,6/11/2025,Good,8.341,0.0010,3.128,0.00039,18.77,2.085,0.0084,4.170,0.00052,2.085,0.00026,20.19,0.325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.016
-93.76651954,42.02190887,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,6,6/11/2025,1.004,On,1107.2,78.75,0.00,6.170,9.085,4.863,89.39,19.99,20.57,0,1,58.89,6/11/2025,Good,8.229,0.0011,3.086,0.00040,18.52,2.057,0.0084,4.114,0.00053,2.057,0.00026,19.92,0.327,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.016
-93.76648589,42.02190897,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,7,6/11/2025,1.000,On,1107.1,78.75,0.00,6.223,9.117,5.174,89.73,19.99,20.31,0,1,59.34,6/11/2025,Good,8.126,0.0010,3.047,0.00039,18.28,2.031,0.0084,4.063,0.00052,2.031,0.00026,19.67,0.324,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.016
-93.76645156,42.02190931,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,8,6/11/2025,1.001,On,1106.9,78.75,0.00,6.308,9.259,4.644,90.43,19.99,20.29,0,1,60.20,6/11/2025,Good,8.117,0.0011,3.044,0.00040,18.26,2.029,0.0085,4.059,0.00053,2.029,0.00027,19.65,0.329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.017
-93.76641694,42.02190881,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,9,6/11/2025,1.000,On,1106.7,78.75,0.00,6.385,9.366,4.607,89.94,19.99,20.12,0,1,60.95,6/11/2025,Good,8.048,0.0011,3.018,0.00040,18.11,2.012,0.0085,4.024,0.00053,2.012,0.00027,19.49,0.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.017
-93.76638197,42.02190840,90,TaskName 6/11/2025 (GreenStar 4 Monitor),Laudis/Warrant/AgSaver/Tough,10,6/11/2025,1.000,On,1106.4,78.75,0.00,6.464,9.484,4.365,89.44,19.99,20.19,0,1,61.72,6/11/2025,Good,8.076,0.0011,3.029,0.00041,18.17,2.019,0.0087,4.038,0.00054,2.019,0.00027,19.55,0.335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.017
