Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77628600,42.02053880,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,1,6/13/2025,0.194,On,1126.5,13.75,-53.75,2.835,0.804,5.079,181.15,19.99,21.94,0,1,4.708,6/13/2025,Good,8.775,1.739e-05,3.291,6.523e-06,0.00,0.00,0.00,4.387,8.697e-06,2.194,4.348e-06,21.79,0.0055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00025
-93.77628598,42.02053601,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,2,6/13/2025,0.205,On,1126.4,42.50,-39.37,1.671,0.502,5.449,181.06,19.99,18.51,0,1,8.601,6/13/2025,Good,7.402,2.832e-05,2.776,1.062e-05,0.00,0.00,0.00,3.701,1.416e-05,1.851,7.081e-06,18.39,0.0090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00049
-93.77628605,42.02053311,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,3,6/13/2025,0.200,On,1126.4,112.50,-3.458,2.088,0.610,4.914,180.87,19.99,16.73,0,1,28.37,6/13/2025,Under Target,6.692,8.240e-05,2.510,3.090e-05,0.00,0.00,0.00,3.346,4.120e-05,1.673,2.060e-05,16.62,0.026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0016
-93.77628625,42.02053013,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,4,6/13/2025,0.200,On,1126.4,120.00,-0.625,2.510,0.735,4.398,180.57,19.99,23.69,0,1,36.44,6/13/2025,Over Target,9.476,0.00015,3.554,5.621e-05,0.00,0.00,0.00,4.738,7.494e-05,2.369,3.747e-05,23.54,0.048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0020
-93.77628721,42.02051368,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,5,6/13/2025,0.996,On,1126.4,121.25,0.00,3.374,4.882,6.645,179.33,19.99,21.00,0,1,49.12,6/13/2025,Good,8.399,0.00089,3.150,0.00033,0.00,0.00,0.00,4.200,0.00045,2.100,0.00022,20.86,0.283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.014
-93.77628660,42.02048898,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,6,6/13/2025,1.000,On,1126.5,121.25,0.00,4.855,7.008,10.69,179.66,19.99,20.63,0,1,70.22,6/13/2025,Good,8.254,0.0013,3.095,0.00047,0.00,0.00,0.00,4.127,0.00063,2.063,0.00031,20.50,0.400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.020
-93.77628600,42.02046097,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,7,6/13/2025,1.000,On,1126.4,121.25,0.00,6.591,9.629,5.488,180.08,19.99,20.07,0,1,96.49,6/13/2025,Good,8.027,0.0017,3.010,0.00063,0.00,0.00,0.00,4.014,0.00084,2.007,0.00042,19.94,0.534,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.027
-93.77628558,42.02043201,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,8,6/13/2025,1.000,On,1126.4,121.25,0.00,7.024,10.30,7.198,180.41,19.99,19.93,0,1,103.18,6/13/2025,Good,7.973,0.0018,2.990,0.00067,0.00,0.00,0.00,3.986,0.00089,1.993,0.00045,19.80,0.568,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029
-93.77628576,42.02040147,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,9,6/13/2025,1.000,On,1126.5,121.25,0.00,7.357,10.79,6.382,179.98,19.99,19.90,0,1,108.16,6/13/2025,Good,7.959,0.0019,2.985,0.00070,0.00,0.00,0.00,3.980,0.00093,1.990,0.00047,19.77,0.594,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.030
-93.77628556,42.02037129,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,10,6/13/2025,1.000,On,1126.6,121.25,0.00,7.548,11.07,6.588,180.05,19.99,19.81,0,1,110.89,6/13/2025,Good,7.926,0.0019,2.972,0.00072,0.00,0.00,0.00,3.963,0.00095,1.981,0.00048,19.69,0.606,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.031
-93.77628507,42.02034081,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,11,6/13/2025,1.000,On,1126.8,121.25,0.00,7.504,10.99,7.044,180.82,19.99,19.92,0,1,110.17,6/13/2025,Good,7.967,0.0019,2.988,0.00071,0.00,0.00,0.00,3.983,0.00095,1.992,0.00048,19.79,0.606,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.031
-93.77628516,42.02030981,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,12,6/13/2025,0.995,On,1126.8,121.25,0.00,7.620,11.13,6.787,181.11,19.99,19.87,0,1,112.11,6/13/2025,Good,7.949,0.0019,2.981,0.00072,0.00,0.00,0.00,3.974,0.00096,1.987,0.00048,19.74,0.612,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.031
-93.77628610,42.02027859,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,13,6/13/2025,1.004,On,1126.9,121.25,0.00,7.729,11.38,6.693,180.21,19.99,19.87,0,1,113.59,6/13/2025,Good,7.947,0.0020,2.980,0.00074,0.00,0.00,0.00,3.974,0.00098,1.987,0.00049,19.74,0.625,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.77628673,42.02024733,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,14,6/13/2025,1.001,On,1126.9,121.25,0.00,7.778,11.42,6.788,179.19,19.99,19.88,0,1,114.29,6/13/2025,Good,7.951,0.0020,2.982,0.00074,0.00,0.00,0.00,3.976,0.00099,1.988,0.00049,19.75,0.628,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.77628566,42.02021574,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,15,6/13/2025,0.999,On,1127.0,121.25,0.00,7.769,11.38,7.065,180.27,19.99,19.96,0,1,114.16,6/13/2025,Good,7.984,0.0020,2.994,0.00074,0.00,0.00,0.00,3.992,0.00099,1.996,0.00049,19.83,0.628,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.77628515,42.02018382,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,16,6/13/2025,1.001,On,1127.0,121.25,0.00,7.909,11.61,6.652,181.33,19.99,19.87,0,1,116.20,6/13/2025,Good,7.946,0.0020,2.980,0.00075,0.00,0.00,0.00,3.973,0.0010,1.987,0.00050,19.74,0.638,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.77628641,42.02015188,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,17,6/13/2025,1.004,On,1127.0,121.25,0.00,7.920,11.66,6.834,180.36,19.99,19.96,0,1,116.41,6/13/2025,Good,7.985,0.0020,2.995,0.00076,0.00,0.00,0.00,3.993,0.0010,1.996,0.00051,19.83,0.644,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.77628704,42.02011996,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,18,6/13/2025,0.996,On,1127.1,121.25,0.00,7.952,11.61,6.728,179.55,19.99,19.91,0,1,116.85,6/13/2025,Good,7.966,0.0020,2.987,0.00075,0.00,0.00,0.00,3.983,0.0010,1.991,0.00050,19.79,0.640,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
-93.77628641,42.02008795,A1/A2,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,19,6/13/2025,0.995,On,1127.1,121.25,0.00,7.918,11.55,6.961,180.09,19.99,19.99,0,1,116.34,6/13/2025,Good,7.996,0.0020,2.998,0.00075,0.00,0.00,0.00,3.998,0.0010,1.999,0.00050,19.86,0.639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
