Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77471558,42.01675050,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,1,6/13/2025,0.200,On,1120.5,3.750,-18.75,2.278,0.666,11.39,130.99,19.99,44.62,0,1,1.032,6/13/2025,Over Target,17.85,7.995e-06,6.693,2.998e-06,0.00,0.00,0.00,8.925,3.998e-06,4.462,1.999e-06,44.33,0.0025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.734e-05
-93.77471123,42.01674725,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,2,6/13/2025,0.195,On,1120.5,7.500,-18.12,2.987,0.853,7.192,129.99,19.99,25.07,0,1,2.711,6/13/2025,Over Target,10.03,1.151e-05,3.760,4.315e-06,0.00,0.00,0.00,5.014,5.753e-06,2.507,2.877e-06,24.91,0.0037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00015
-93.77470658,42.01674395,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,3,6/13/2025,0.205,On,1120.5,12.50,-16.87,3.790,1.138,5.706,129.11,19.99,22.00,0,1,5.737,6/13/2025,Good,8.801,2.246e-05,3.300,8.423e-06,0.00,0.00,0.00,4.400,1.123e-05,2.200,5.615e-06,21.86,0.0071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00033
-93.77470237,42.01674067,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,4,6/13/2025,0.199,On,1120.4,20.00,-15.62,4.546,1.325,4.689,128.22,19.99,26.87,0,1,11.01,6/13/2025,Over Target,10.75,5.109e-05,4.030,1.916e-05,0.00,0.00,0.00,5.373,2.555e-05,2.687,1.277e-05,26.69,0.016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00061
-93.77469846,42.01673760,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,5,6/13/2025,0.206,On,1120.3,27.50,-14.37,5.045,1.522,4.015,127.44,19.99,23.24,0,1,16.80,6/13/2025,Over Target,9.297,6.980e-05,3.486,2.618e-05,0.00,0.00,0.00,4.648,3.490e-05,2.324,1.745e-05,23.09,0.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00096
-93.77469016,42.01673185,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,6,6/13/2025,0.395,On,1120.4,28.75,-15.00,5.258,3.041,3.847,126.63,19.99,20.52,0,1,18.29,6/13/2025,Good,8.206,0.00013,3.077,4.826e-05,0.00,0.00,0.00,4.103,6.434e-05,2.052,3.217e-05,20.38,0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0020
-93.77468601,42.01672952,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,7,6/13/2025,0.200,On,1120.4,30.00,-15.62,5.233,1.532,3.936,126.80,19.99,22.11,0,1,18.99,6/13/2025,Good,8.843,7.290e-05,3.316,2.734e-05,0.00,0.00,0.00,4.422,3.645e-05,2.211,1.823e-05,21.96,0.023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0011
-93.77468217,42.01672731,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,8,6/13/2025,0.200,On,1120.4,31.25,-15.00,5.132,1.503,4.346,127.08,19.99,19.17,0,1,19.40,6/13/2025,Good,7.667,6.457e-05,2.875,2.421e-05,0.00,0.00,0.00,3.834,3.229e-05,1.917,1.614e-05,19.04,0.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0011
-93.77467433,42.01672331,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,9,6/13/2025,0.400,On,1120.5,36.25,-15.00,4.880,2.851,6.268,128.18,19.99,20.86,0,1,21.35,6/13/2025,Good,8.345,0.00015,3.129,5.800e-05,0.00,0.00,0.00,4.172,7.734e-05,2.086,3.867e-05,20.73,0.049,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0024
-93.77466999,42.01672113,A3,TaskName 6/13/2025 (GreenStar 4 Monitor),Laudis/Tough,10,6/13/2025,0.199,On,1120.5,37.50,-14.37,4.649,1.362,8.460,128.79,19.99,20.03,0,1,21.20,6/13/2025,Good,8.014,7.338e-05,3.005,2.752e-05,0.00,0.00,0.00,4.007,3.669e-05,2.003,1.835e-05,19.90,0.023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0012
