Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77192331,42.01868207,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,1,5/7/2025,0.199,On,1128.6,63.75,15.00,2.653,0.778,6.003,87.67,42.29,39.16,0,1,20.59,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.406,0.0013,7.832,6.963e-05,3.916,3.481e-05,37.40,0.043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0011
-93.77191916,42.01868233,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,2,5/7/2025,0.201,On,1128.6,82.50,9.375,2.897,0.846,5.171,87.90,42.29,34.26,0,1,28.71,5/7/2025,Under Target,0.00,0.00,0.00,0.00,0.00,3.855,0.0015,6.853,8.583e-05,3.426,4.291e-05,32.72,0.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0016
-93.77191481,42.01868251,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,3,5/7/2025,0.199,On,1128.6,96.25,2.500,3.163,0.925,4.465,88.19,42.29,35.47,0,1,36.98,5/7/2025,Under Target,0.00,0.00,0.00,0.00,0.00,3.991,0.0020,7.094,0.00011,3.547,5.665e-05,33.88,0.069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0020
-93.77190198,42.01868321,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,4,5/7/2025,0.601,On,1128.6,112.50,-4.375,3.625,3.179,3.724,88.64,42.29,42.95,0,1,49.18,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.832,0.0099,8.590,0.00055,4.295,0.00028,41.02,0.337,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0082
-93.77188588,42.01868378,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,5,5/7/2025,0.799,On,1128.7,113.75,-3.750,3.829,4.485,4.302,88.93,42.29,41.16,0,1,52.77,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.631,0.014,8.233,0.00075,4.116,0.00038,39.31,0.460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.012
-93.77186320,42.01868384,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,6,5/7/2025,0.995,On,1128.8,115.00,-3.125,3.894,5.670,6.994,88.38,42.29,42.33,0,1,54.16,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.762,0.018,8.467,0.00099,4.233,0.00050,40.43,0.605,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.015
-93.77183605,42.01868406,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,7,5/7/2025,1.000,On,1128.8,116.25,-2.500,4.539,6.640,6.150,87.71,42.29,41.85,0,1,63.80,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.708,0.021,8.370,0.0012,4.185,0.00058,39.97,0.708,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.018
-93.77180840,42.01868518,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,8,5/7/2025,1.001,On,1128.8,116.25,-2.500,5.064,7.438,5.232,88.43,42.29,40.85,0,1,71.39,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.595,0.023,8.170,0.0013,4.085,0.00063,39.01,0.774,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.020
-93.77180279,42.01868557,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,9,5/7/2025,0.200,On,1128.8,116.25,-2.500,5.143,1.508,4.669,88.62,42.29,41.57,0,1,72.43,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.676,0.0047,8.313,0.00026,4.157,0.00013,39.70,0.160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0040
-93.77177535,42.01868568,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,10,5/7/2025,0.999,On,1128.9,117.50,-1.875,5.081,7.451,6.180,88.30,42.29,41.77,0,1,72.42,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.700,0.024,8.355,0.0013,4.177,0.00066,39.90,0.802,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.020
-93.77174554,42.01868668,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,11,5/7/2025,1.001,On,1128.9,117.50,-1.875,5.306,7.785,5.869,89.40,42.29,41.95,0,1,75.53,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.719,0.025,8.389,0.0014,4.195,0.00069,40.06,0.841,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.021
-93.77171550,42.01868730,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,12,5/7/2025,1.000,On,1129.1,117.50,-1.875,5.572,8.173,5.520,90.25,42.29,40.96,0,1,79.36,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.608,0.025,8.192,0.0014,4.096,0.00071,39.12,0.862,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.022
-93.77168458,42.01868716,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,13,5/7/2025,1.000,On,1129.1,117.50,-1.875,5.616,8.228,6.250,90.30,42.29,41.87,0,1,79.90,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.710,0.026,8.374,0.0015,4.187,0.00073,39.99,0.888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.022
-93.77165278,42.01868688,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,14,5/7/2025,1.000,On,1129.1,117.50,-1.875,5.796,8.510,5.605,90.43,42.29,41.85,0,1,82.64,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.709,0.027,8.371,0.0015,4.185,0.00075,39.97,0.918,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023
-93.77162103,42.01868694,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,15,5/7/2025,0.999,On,1129.2,117.50,-1.875,5.867,8.596,4.789,90.70,42.29,41.43,0,1,83.55,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.661,0.027,8.286,0.0015,4.143,0.00075,39.57,0.917,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023
-93.77158936,42.01868636,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,16,5/7/2025,1.000,On,1129.3,117.50,-1.875,5.895,8.648,4.626,90.27,42.29,41.33,0,1,83.98,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.650,0.027,8.266,0.0015,4.133,0.00075,39.47,0.921,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023
-93.77155783,42.01868606,D Fields,TaskName 5/7/2025 (GreenStar 4 Monitor),Harness & 32%,17,5/7/2025,1.000,On,1129.1,117.50,-1.875,5.844,8.570,5.061,89.90,42.29,42.24,0,1,83.22,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,4.752,0.027,8.448,0.0015,4.224,0.00076,40.34,0.933,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023
