Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.78097252,42.02024221,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,1,6/2/2025,0.204,On,1120.1,15.00,51.87,3.657,1.101,6.644,359.56,41.99,68.52,0,1,6.691,6/2/2025,Over Target,27.41,8.118e-05,10.28,3.044e-05,0.00,0.00,0.00,13.70,4.059e-05,6.852,2.030e-05,68.07,0.026,0.00,0.00,82.22,0.00024,0.00,0.00,0.00,0.00,0.00,9.592,0.00,0.00,0.00038
-93.78097224,42.02024583,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,2,6/2/2025,0.200,On,1120.0,27.50,45.62,3.948,1.160,5.660,359.37,41.99,63.93,0,1,13.18,6/2/2025,Over Target,25.57,0.00015,9.590,5.487e-05,0.00,0.00,0.00,12.79,7.316e-05,6.393,3.658e-05,63.51,0.047,0.00,0.00,76.72,0.00044,0.00,0.00,0.00,0.00,0.00,8.950,0.00,0.00,0.00073
-93.78097269,42.02024933,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,3,6/2/2025,0.200,On,1120.0,28.75,45.00,4.161,1.222,4.398,359.68,41.99,56.58,0,1,14.52,6/2/2025,Over Target,22.63,0.00014,8.486,5.349e-05,0.00,0.00,0.00,11.32,7.132e-05,5.658,3.566e-05,56.21,0.045,0.00,0.00,67.89,0.00043,0.00,0.00,0.00,0.00,0.00,7.921,0.00,0.00,0.00081
-93.78097295,42.02025272,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,4,6/2/2025,0.195,On,1119.9,40.00,28.12,4.304,1.232,3.824,359.84,41.99,57.36,0,1,20.89,6/2/2025,Over Target,22.94,0.00020,8.603,7.606e-05,0.00,0.00,0.00,11.47,0.00010,5.736,5.070e-05,56.98,0.064,0.00,0.00,68.83,0.00061,0.00,0.00,0.00,0.00,0.00,8.030,0.00,0.00,0.0011
-93.78097304,42.02025611,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,5,6/2/2025,0.205,On,1120.0,53.75,14.48,4.315,1.298,3.104,359.89,41.99,54.55,0,1,28.12,6/2/2025,Over Target,21.82,0.00027,8.183,0.00010,0.00,0.00,0.00,10.91,0.00014,5.455,6.826e-05,54.20,0.087,0.00,0.00,65.47,0.00082,0.00,0.00,0.00,0.00,0.00,7.638,0.00,0.00,0.0016
-93.78097314,42.02025954,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,6,6/2/2025,0.200,On,1119.9,66.25,4.316,4.295,1.262,2.906,359.94,41.99,51.21,0,1,34.54,6/2/2025,Over Target,20.48,0.00031,7.681,0.00012,0.00,0.00,0.00,10.24,0.00015,5.121,7.678e-05,50.88,0.098,0.00,0.00,61.45,0.00092,0.00,0.00,0.00,0.00,0.00,7.169,0.00,0.00,0.0019
-93.78097323,42.02026284,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,7,6/2/2025,0.201,On,1119.9,65.00,3.798,4.279,1.255,2.714,359.98,41.99,50.52,0,1,33.55,6/2/2025,Over Target,20.21,0.00030,7.579,0.00011,0.00,0.00,0.00,10.10,0.00015,5.052,7.393e-05,50.20,0.094,0.00,0.00,60.63,0.00089,0.00,0.00,0.00,0.00,0.00,7.073,0.00,0.00,0.0019
-93.78097291,42.02026592,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,8,6/2/2025,0.194,On,1119.9,67.50,1.181,4.235,1.213,2.860,359.75,41.99,49.75,0,1,34.87,6/2/2025,Over Target,19.90,0.00029,7.463,0.00011,0.00,0.00,0.00,9.951,0.00015,4.975,7.304e-05,49.43,0.093,0.00,0.00,59.71,0.00088,0.00,0.00,0.00,0.00,0.00,6.966,0.00,0.00,0.0019
-93.78097279,42.02026858,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,9,6/2/2025,0.200,On,1119.9,76.25,-5.635,4.116,1.209,3.315,359.64,41.99,46.29,0,1,38.10,6/2/2025,Good,18.52,0.00031,6.944,0.00011,0.00,0.00,0.00,9.258,0.00015,4.629,7.656e-05,45.99,0.097,0.00,0.00,55.55,0.00092,0.00,0.00,0.00,0.00,0.00,6.481,0.00,0.00,0.0021
-93.78097270,42.02027090,F Fields (F1-F5),TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,10,6/2/2025,0.205,On,1119.9,80.00,-8.749,3.895,1.170,3.434,359.60,41.99,45.61,0,1,37.73,6/2/2025,Good,18.24,0.00031,6.841,0.00011,0.00,0.00,0.00,9.121,0.00015,4.561,7.656e-05,45.31,0.097,0.00,0.00,54.73,0.00092,0.00,0.00,0.00,0.00,0.00,6.385,0.00,0.00,0.0021
