Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.76873271,42.02207039,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,1,6/2/2025,1.000,On,1112.1,112.50,-4.375,2.495,3.560,4.514,89.44,41.99,42.21,0,1,33.10,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.443,0.00061,4.221,0.00030,41.37,0.380,0.00,0.00,50.66,0.0036,0.00,0.00,0.00,0.00,0.00,5.910,0.00,0.00,0.0092
-93.76870746,42.02207035,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,2,6/2/2025,1.000,On,1112.0,112.50,-4.375,3.724,5.367,5.883,89.13,41.99,41.67,0,1,49.90,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.334,0.00090,4.167,0.00045,40.83,0.566,0.00,0.00,50.00,0.0054,0.00,0.00,0.00,0.00,0.00,5.834,0.00,0.00,0.014
-93.76867999,42.02207060,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,3,6/2/2025,1.000,On,1111.9,112.50,-4.375,4.859,7.113,4.456,89.24,41.99,39.84,0,1,66.13,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.967,0.0011,3.984,0.00057,39.04,0.717,0.00,0.00,47.80,0.0069,0.00,0.00,0.00,0.00,0.00,5.577,0.00,0.00,0.018
-93.76865454,42.02207073,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,4,6/2/2025,1.000,On,1111.7,112.50,-4.375,5.012,7.343,3.213,89.21,41.99,40.36,0,1,68.27,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.071,0.0012,4.036,0.00060,39.55,0.750,0.00,0.00,48.43,0.0072,0.00,0.00,0.00,0.00,0.00,5.650,0.00,0.00,0.019
-93.76863284,42.02207083,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,5,6/2/2025,1.000,On,1111.7,112.50,-4.375,4.274,6.237,7.099,89.15,41.99,42.19,0,1,57.99,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.437,0.0011,4.219,0.00053,41.34,0.666,0.00,0.00,50.62,0.0064,0.00,0.00,0.00,0.00,0.00,5.906,0.00,0.00,0.016
-93.76860303,42.02207106,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,6,6/2/2025,1.000,On,1111.4,112.50,-4.375,4.735,6.880,6.302,88.77,41.99,42.42,0,1,63.97,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.485,0.0012,4.242,0.00059,41.57,0.739,0.00,0.00,50.91,0.0071,0.00,0.00,0.00,0.00,0.00,5.939,0.00,0.00,0.018
-93.76857095,42.02207117,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,7,6/2/2025,1.000,On,1111.2,112.50,-4.375,5.718,8.376,4.744,88.37,41.99,40.06,0,1,77.88,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.011,0.0014,4.006,0.00068,39.25,0.849,0.00,0.00,48.07,0.0081,0.00,0.00,0.00,0.00,0.00,5.608,0.00,0.00,0.022
-93.76854625,42.02207193,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,8,6/2/2025,0.800,On,1111.0,112.50,-4.375,5.913,6.932,4.506,88.82,41.99,39.74,0,1,80.57,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.948,0.0011,3.974,0.00056,38.95,0.697,0.00,0.00,47.69,0.0067,0.00,0.00,0.00,0.00,0.00,5.564,0.00,0.00,0.018
-93.76851522,42.02207263,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,9,6/2/2025,1.000,On,1110.8,113.75,-3.750,5.664,8.294,5.918,89.33,41.99,41.20,0,1,77.97,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.239,0.0014,4.120,0.00070,40.37,0.874,0.00,0.00,49.43,0.0084,0.00,0.00,0.00,0.00,0.00,5.767,0.00,0.00,0.022
-93.76848201,42.02207339,G,TaskName 6/2/2025 (GreenStar 4 Monitor),32%zidua/sharpen,10,6/2/2025,0.995,On,1110.7,113.75,-3.750,6.015,8.770,4.791,90.04,41.99,40.48,0,1,82.86,6/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.095,0.0014,4.048,0.00072,39.67,0.908,0.00,0.00,48.57,0.0087,0.00,0.00,0.00,0.00,0.00,5.667,0.00,0.00,0.023
