Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77417661,42.01975053,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,1,5/17/2025,0.995,On,1126.4,121.25,0.00,3.449,4.885,9.100,269.77,19.99,20.21,0,1,49.20,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.042,0.00043,2.021,0.00021,19.83,0.270,0.00,0.00,24.25,0.0026,0.00,0.00,0.00,0.00,0.00,2.829,0.00,0.00,0.014
-93.77421378,42.01975076,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,2,5/17/2025,1.005,On,1126.5,121.25,0.00,5.663,8.212,9.840,269.71,19.99,19.76,0,1,81.88,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.953,0.00071,1.976,0.00035,19.39,0.443,0.00,0.00,23.72,0.0042,0.00,0.00,0.00,0.00,0.00,2.767,0.00,0.00,0.023
-93.77425155,42.01975047,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,3,5/17/2025,0.995,On,1126.7,121.25,0.00,7.103,10.37,4.736,270.68,19.99,19.24,0,1,104.41,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.848,0.00087,1.924,0.00043,18.88,0.545,0.00,0.00,23.09,0.0052,0.00,0.00,0.00,0.00,0.00,2.694,0.00,0.00,0.029
-93.77428747,42.01975093,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,4,5/17/2025,1.000,On,1127.1,121.25,0.00,6.574,9.626,12.14,270.86,19.99,19.99,0,1,96.46,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.998,0.00084,1.999,0.00042,19.61,0.525,0.00,0.00,23.99,0.0050,0.00,0.00,0.00,0.00,0.00,2.798,0.00,0.00,0.027
-93.77432906,42.01975147,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,5,5/17/2025,1.000,On,1127.2,121.25,0.00,7.398,10.82,6.049,270.93,19.99,19.62,0,1,108.39,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.925,0.00092,1.962,0.00046,19.25,0.580,0.00,0.00,23.55,0.0055,0.00,0.00,0.00,0.00,0.00,2.747,0.00,0.00,0.030
-93.77436294,42.01975192,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,6,5/17/2025,1.005,On,1127.6,121.25,0.00,7.103,10.42,4.414,270.73,19.99,19.75,0,1,103.89,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.950,0.00090,1.975,0.00045,19.38,0.562,0.00,0.00,23.70,0.0054,0.00,0.00,0.00,0.00,0.00,2.765,0.00,0.00,0.029
-93.77439301,42.01975217,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,7,5/17/2025,0.995,On,1127.8,121.25,0.00,5.881,8.566,6.281,271.04,19.99,20.29,0,1,86.27,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.058,0.00076,2.029,0.00038,19.91,0.475,0.00,0.00,24.35,0.0045,0.00,0.00,0.00,0.00,0.00,2.841,0.00,0.00,0.024
-93.77442293,42.01975261,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,8,5/17/2025,1.000,On,1128.1,121.25,0.00,5.540,8.117,6.884,271.53,19.99,20.20,0,1,81.34,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.041,0.00071,2.020,0.00036,19.82,0.448,0.00,0.00,24.24,0.0043,0.00,0.00,0.00,0.00,0.00,2.829,0.00,0.00,0.023
-93.77445477,42.01975303,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,9,5/17/2025,1.000,On,1128.3,121.25,0.00,5.774,8.461,5.768,271.98,19.99,20.06,0,1,84.79,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.011,0.00074,2.006,0.00037,19.68,0.463,0.00,0.00,24.07,0.0044,0.00,0.00,0.00,0.00,0.00,2.808,0.00,0.00,0.024
-93.77448348,42.01975387,H1,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,10,5/17/2025,1.005,On,1128.6,121.25,0.00,5.693,8.366,4.895,271.71,19.99,19.94,0,1,83.42,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.988,0.00073,1.994,0.00036,19.56,0.455,0.00,0.00,23.93,0.0044,0.00,0.00,0.00,0.00,0.00,2.791,0.00,0.00,0.023
