Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77295896,42.01848179,H2,TaskName 7/3/2025 (GreenStar 4 Monitor),Liberty| Clethodim| & Outlook,1,7/3/2025,0.204,On,1124.7,121.25,0.00,0.068,0.073,2.244,174.39,19.99,0.00,0,1,3.610,7/3/2025,Under Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00020
-93.77294339,42.01845360,H2,TaskName 6/13/2025 (GreenStar 4 Monitor),Water,1,6/13/2025,57.40,On,1125.4,121.25,0.00,0.561,1.506,2.727,170.07,19.99,91.30,0,1,0.263,6/13/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.130,0.00030,89.34,0.374,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.383,0.0042
-93.77294645,42.01845717,H2,TaskName 6/13/2025 (GreenStar 4 Monitor),Water,2,6/13/2025,0.990,On,1125.4,121.25,0.00,1.140,1.647,2.277,165.46,19.99,47.19,0,1,16.67,6/13/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.719,0.00017,46.17,0.212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.216,0.0046
-93.77294952,42.01846029,H2,TaskName 6/13/2025 (GreenStar 4 Monitor),Water,3,6/13/2025,1.005,On,1125.4,121.25,0.00,1.072,1.572,2.329,161.21,19.99,45.98,0,1,15.67,6/13/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.598,0.00016,44.99,0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.201,0.0044
-93.77295218,42.01846284,H2,TaskName 6/13/2025 (GreenStar 4 Monitor),Water,4,6/13/2025,1.000,On,1125.3,121.25,0.00,0.896,1.299,2.539,158.00,19.99,57.65,0,1,13.02,6/13/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.765,0.00016,56.41,0.204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.208,0.0036
-93.77295357,42.01846408,H2,TaskName 6/13/2025 (GreenStar 4 Monitor),Water,5,6/13/2025,0.999,On,1125.4,121.25,0.00,0.572,0.692,2.002,156.64,19.99,103.62,0,1,6.944,6/13/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.36,0.00016,101.40,0.195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.200,0.0019
-93.77292921,42.01846371,H2,TaskName 6/13/2025 (GreenStar 4 Monitor),Water,1,6/13/2025,0.195,On,1125.4,121.25,0.00,0.063,0.032,2.228,157.34,19.99,0.00,0,1,1.645,6/13/2025,Under Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.908e-05
-93.77289300,42.01835463,H2,TaskName 7/7/2025 (GreenStar 4 Monitor),Water,1,7/7/2025,0.195,On,1125.6,121.25,0.00,0.086,0.030,2.079,103.92,19.99,0.00,0,1,1.517,7/7/2025,Under Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.219e-05
-93.77288771,42.01835414,H2,TaskName 7/7/2025 (GreenStar 4 Monitor),Water,2,7/7/2025,206.57,On,1125.7,121.25,0.00,0.766,1.568,3.144,105.45,19.99,98.88,0,1,0.076,7/7/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.888,0.00034,96.75,0.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.432,0.0044
-93.77288125,42.01835351,H2,TaskName 7/7/2025 (GreenStar 4 Monitor),Water,3,7/7/2025,1.000,On,1125.7,121.25,0.00,1.229,1.791,3.008,106.88,19.99,57.06,0,1,17.95,7/7/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.706,0.00022,55.83,0.278,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.285,0.0050
