Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77178262,42.02233390,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,1,5/13/2025,1.001,On,1114.8,116.25,-2.500,5.315,7.748,7.657,1.466,15.00,14.52,0,1,74.37,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.871,0.00063,1.936,0.00031,13.98,0.289,2.903,0.00047,21.29,0.0034,0.242,2.419,0.0063,0.00,0.00,0.00,0.00,0.00,0.021
-93.77178175,42.02235968,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,2,5/13/2025,0.999,On,1114.7,116.25,-2.500,6.208,9.107,5.525,2.219,15.00,14.67,0,1,87.58,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.911,0.00074,1.956,0.00037,14.13,0.343,2.933,0.00056,21.51,0.0041,0.244,2.445,0.0074,0.00,0.00,0.00,0.00,0.00,0.024
-93.77178055,42.02238655,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,3,5/13/2025,1.000,On,1114.7,116.25,-2.500,6.568,9.635,6.562,2.305,15.00,14.96,0,1,92.57,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.991,0.00080,1.995,0.00040,14.42,0.371,2.993,0.00060,21.95,0.0044,0.249,2.494,0.0080,0.00,0.00,0.00,0.00,0.00,0.026
-93.77178026,42.02239207,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,4,5/13/2025,0.196,On,1114.7,116.25,-2.500,6.644,1.911,6.954,2.243,15.00,14.99,0,1,93.68,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.997,0.00016,1.998,7.963e-05,14.44,0.074,2.998,0.00012,21.98,0.00088,0.250,2.498,0.0016,0.00,0.00,0.00,0.00,0.00,0.0051
-93.77177760,42.02242039,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,5,5/13/2025,1.000,On,1114.6,115.00,-3.125,6.893,10.10,5.482,0.612,15.00,14.96,0,1,96.00,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.990,0.00083,1.995,0.00042,14.41,0.384,2.993,0.00062,21.95,0.0046,0.249,2.494,0.0083,0.00,0.00,0.00,0.00,0.00,0.027
-93.77177683,42.02244884,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,6,5/13/2025,1.000,On,1114.6,115.00,-3.125,7.055,10.36,5.642,0.604,15.00,14.97,0,1,98.46,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.991,0.00085,1.996,0.00043,14.42,0.394,2.994,0.00064,21.95,0.0047,0.249,2.495,0.0085,0.00,0.00,0.00,0.00,0.00,0.027
-93.77177646,42.02247849,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,7,5/13/2025,1.004,On,1114.7,115.00,-3.125,7.141,10.52,6.444,1.357,15.00,15.02,0,1,99.56,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.005,0.00087,2.003,0.00043,14.47,0.402,3.004,0.00065,22.03,0.0048,0.250,2.503,0.0087,0.00,0.00,0.00,0.00,0.00,0.028
-93.77177617,42.02249736,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,8,5/13/2025,0.601,On,1114.6,115.00,-3.125,7.559,6.649,4.605,1.749,15.00,14.87,0,1,105.15,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.966,0.00054,1.983,0.00027,14.33,0.252,2.975,0.00041,21.82,0.0030,0.248,2.479,0.0054,0.00,0.00,0.00,0.00,0.00,0.018
-93.77177484,42.02252807,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,9,5/13/2025,0.999,On,1114.5,113.75,-3.750,7.658,11.24,5.648,1.851,15.00,14.89,0,1,105.73,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.971,0.00091,1.985,0.00046,14.34,0.421,2.978,0.00068,21.84,0.0050,0.248,2.482,0.0091,0.00,0.00,0.00,0.00,0.00,0.029
-93.77177360,42.02255956,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,10,5/13/2025,1.000,On,1114.3,113.75,-3.750,7.777,11.41,5.649,2.062,15.00,15.01,0,1,107.23,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.003,0.00093,2.001,0.00047,14.46,0.431,3.002,0.00070,22.01,0.0051,0.250,2.502,0.0093,0.00,0.00,0.00,0.00,0.00,0.030
-93.77177216,42.02259076,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,11,5/13/2025,1.001,On,1114.3,113.75,-3.750,7.757,11.39,5.923,2.180,15.00,14.98,0,1,106.94,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.995,0.00093,1.998,0.00046,14.43,0.429,2.996,0.00070,21.97,0.0051,0.250,2.497,0.0093,0.00,0.00,0.00,0.00,0.00,0.030
-93.77177182,42.02259717,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,12,5/13/2025,0.200,On,1114.3,113.75,-3.750,7.751,2.262,5.343,2.258,15.00,15.02,0,1,106.34,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.005,0.00018,2.003,9.243e-05,14.47,0.085,3.004,0.00014,22.03,0.0010,0.250,2.503,0.0018,0.00,0.00,0.00,0.00,0.00,0.0059
-93.77176982,42.02262863,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,13,5/13/2025,1.000,On,1114.2,112.50,-4.375,7.833,11.49,5.010,1.858,15.00,14.99,0,1,106.84,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.997,0.00093,1.999,0.00046,14.44,0.429,2.998,0.00070,21.98,0.0051,0.250,2.498,0.0093,0.00,0.00,0.00,0.00,0.00,0.030
-93.77176791,42.02265992,J,TaskName 5/13/2025 (GreenStar 4 Monitor),smackdown/callisto/agsaver/atrazine,14,5/13/2025,0.995,On,1114.1,112.50,-4.375,7.813,11.40,5.627,1.545,15.00,15.00,0,1,106.55,5/13/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.999,0.00092,1.999,0.00046,14.45,0.425,2.999,0.00069,21.99,0.0051,0.250,2.499,0.0092,0.00,0.00,0.00,0.00,0.00,0.029
