Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.77535566,42.02069130,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,1,5/7/2025,1.004,On,1131.2,110.00,-5.625,3.569,5.252,5.587,359.10,56.49,67.27,0,1,47.55,5/7/2025,Over Target,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.977,0.0049,0.00,0.00,0.00,0.00,0.00,0.013
-93.77535648,42.02070945,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,2,5/7/2025,0.995,On,1131.2,110.00,-5.625,4.191,6.098,4.116,359.64,56.49,59.42,0,1,55.72,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.629,0.0051,0.00,0.00,0.00,0.00,0.00,0.015
-93.77535668,42.02072776,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,3,5/7/2025,1.005,On,1131.2,110.00,-5.625,4.494,6.620,4.183,359.46,56.49,55.33,0,1,59.88,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.448,0.0051,0.00,0.00,0.00,0.00,0.00,0.017
-93.77535661,42.02074642,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,4,5/7/2025,0.995,On,1131.2,110.00,-5.625,4.563,6.656,4.565,358.81,56.49,54.19,0,1,60.81,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.398,0.0050,0.00,0.00,0.00,0.00,0.00,0.017
-93.77535730,42.02076612,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,5,5/7/2025,1.001,On,1131.2,110.00,-5.625,4.791,7.030,4.603,358.93,56.49,52.85,0,1,63.84,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.339,0.0052,0.00,0.00,0.00,0.00,0.00,0.018
-93.77535798,42.02078618,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,6,5/7/2025,0.994,On,1131.2,110.00,-5.625,4.914,7.164,4.617,359.27,56.49,52.53,0,1,65.52,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.325,0.0053,0.00,0.00,0.00,0.00,0.00,0.018
-93.77535865,42.02080598,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,7,5/7/2025,1.011,On,1131.2,110.00,-5.625,4.927,7.302,5.129,359.59,56.49,54.01,0,1,65.66,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.390,0.0055,0.00,0.00,0.00,0.00,0.00,0.018
-93.77535878,42.02082609,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,8,5/7/2025,0.994,On,1131.2,110.00,-5.625,4.951,7.217,5.448,359.57,56.49,55.23,0,1,66.00,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.444,0.0056,0.00,0.00,0.00,0.00,0.00,0.018
-93.77535884,42.02084806,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,9,5/7/2025,0.995,On,1131.1,110.00,-5.625,5.178,7.548,5.509,358.95,56.49,53.45,0,1,68.97,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.365,0.0056,0.00,0.00,0.00,0.00,0.00,0.019
-93.77535961,42.02087104,M,TaskName 5/7/2025 (GreenStar 4 Monitor),Smackdown|Callisto|&Atrazine with 32%,10,5/7/2025,1.001,On,1131.1,110.00,-5.625,5.546,8.142,5.198,359.21,56.49,51.02,0,1,73.95,5/7/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.257,0.0058,0.00,0.00,0.00,0.00,0.00,0.021
