Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.76842679,42.01410729,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,1,6/16/2025,0.200,On,1119.1,1.250,60.00,2.648,0.778,6.360,176.85,19.99,20.27,0,1,0.402,6/16/2025,Good,0.00,0.00,3.040,5.300e-07,0.00,0.00,0.00,4.054,7.067e-07,2.027,3.533e-07,20.15,0.00045,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.231e-05
-93.76842671,42.01410425,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,2,6/16/2025,0.200,On,1119.1,25.00,48.12,2.937,0.860,6.320,176.77,19.99,17.58,0,1,8.880,6/16/2025,Good,0.00,0.00,2.636,1.016e-05,0.00,0.00,0.00,3.515,1.355e-05,1.758,6.774e-06,17.47,0.0086,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00049
-93.76842626,42.01410111,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,3,6/16/2025,0.199,On,1119.1,46.25,37.50,3.185,0.928,7.271,177.01,19.99,17.15,0,1,17.83,6/16/2025,Good,0.00,0.00,2.572,1.981e-05,0.00,0.00,0.00,3.430,2.641e-05,1.715,1.321e-05,17.05,0.017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00099
-93.76842571,42.01409794,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,4,6/16/2025,0.201,On,1119.1,62.50,29.37,3.402,1.001,8.520,177.36,19.99,15.77,0,1,25.71,6/16/2025,Under Target,0.00,0.00,2.365,2.653e-05,0.00,0.00,0.00,3.154,3.537e-05,1.577,1.769e-05,15.67,0.023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0014
-93.76842534,42.01409426,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,5,6/16/2025,0.199,On,1119.2,82.50,19.37,3.579,1.043,9.180,177.55,19.99,21.00,0,1,35.75,6/16/2025,Good,0.00,0.00,3.149,4.862e-05,0.00,0.00,0.00,4.199,6.483e-05,2.100,3.241e-05,20.87,0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0020
-93.76842331,42.01407305,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,6,6/16/2025,1.001,On,1119.1,121.25,0.00,4.378,6.358,8.680,179.47,19.99,20.08,0,1,63.65,6/16/2025,Good,0.00,0.00,3.013,0.00042,0.00,0.00,0.00,4.017,0.00056,2.008,0.00028,19.96,0.353,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.018
-93.76842333,42.01404918,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,7,6/16/2025,0.999,On,1119.2,121.25,0.00,5.587,8.173,7.083,179.34,19.99,19.88,0,1,81.98,6/16/2025,Good,0.00,0.00,2.982,0.00053,0.00,0.00,0.00,3.976,0.00071,1.988,0.00035,19.76,0.449,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.023
-93.76842229,42.01402164,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,8,6/16/2025,1.001,On,1119.1,121.25,0.00,6.349,9.288,8.556,179.80,19.99,19.88,0,1,92.98,6/16/2025,Good,0.00,0.00,2.982,0.00060,0.00,0.00,0.00,3.976,0.00080,1.988,0.00040,19.76,0.511,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.026
-93.76842264,42.01399151,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,9,6/16/2025,1.000,On,1119.0,121.25,0.00,7.019,10.28,8.502,179.42,19.99,19.84,0,1,103.00,6/16/2025,Good,0.00,0.00,2.976,0.00067,0.00,0.00,0.00,3.968,0.00089,1.984,0.00044,19.72,0.564,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.029
-93.76842195,42.01395941,S1,TaskName 6/16/2025 (GreenStar 4 Monitor),Laudis/Broclean,10,6/16/2025,0.999,On,1119.0,121.25,0.00,7.809,11.43,6.477,180.20,19.99,19.70,0,1,114.62,6/16/2025,Good,0.00,0.00,2.955,0.00073,0.00,0.00,0.00,3.940,0.00098,1.970,0.00049,19.58,0.623,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.032
