Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.76703534,42.01410320,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,1,5/17/2025,1.000,On,1121.4,67.50,-26.87,4.127,6.033,4.516,270.51,19.99,19.75,0,1,33.66,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.950,0.00029,1.975,0.00014,19.37,0.181,0.00,0.00,23.70,0.0017,0.00,0.00,0.00,0.00,0.00,2.765,0.00,0.00,0.0093
-93.76706785,42.01410361,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,2,5/17/2025,0.995,On,1121.3,67.50,-26.87,4.949,7.142,9.636,269.72,19.99,20.96,0,1,40.04,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.192,0.00036,2.096,0.00018,20.56,0.228,0.00,0.00,25.15,0.0022,0.00,0.00,0.00,0.00,0.00,2.934,0.00,0.00,0.011
-93.76710221,42.01410387,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,3,5/17/2025,1.000,On,1121.2,67.50,-26.87,6.438,9.429,2.693,268.85,19.99,20.12,0,1,52.60,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.023,0.00046,2.012,0.00023,19.73,0.288,0.00,0.00,24.14,0.0028,0.00,0.00,0.00,0.00,0.00,2.816,0.00,0.00,0.015
-93.76713041,42.01410288,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,4,5/17/2025,1.000,On,1121.3,67.50,-26.87,5.808,8.481,3.499,269.98,19.99,20.13,0,1,47.31,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.026,0.00041,2.013,0.00021,19.75,0.260,0.00,0.00,24.16,0.0025,0.00,0.00,0.00,0.00,0.00,2.819,0.00,0.00,0.013
-93.76715882,42.01410308,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,5,5/17/2025,1.005,On,1121.3,67.50,-26.87,5.118,7.543,6.304,269.20,19.99,20.34,0,1,41.87,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.067,0.00037,2.034,0.00019,19.95,0.233,0.00,0.00,24.40,0.0022,0.00,0.00,0.00,0.00,0.00,2.847,0.00,0.00,0.012
-93.76719129,42.01410268,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,6,5/17/2025,0.999,On,1121.4,67.50,-26.87,5.664,8.281,4.897,268.80,19.99,20.02,0,1,46.24,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.004,0.00040,2.002,0.00020,19.64,0.252,0.00,0.00,24.02,0.0024,0.00,0.00,0.00,0.00,0.00,2.803,0.00,0.00,0.013
-93.76722808,42.01410223,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,7,5/17/2025,0.996,On,1121.4,67.50,-26.87,6.345,9.242,7.134,269.10,19.99,20.05,0,1,51.76,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.010,0.00045,2.005,0.00022,19.67,0.282,0.00,0.00,24.06,0.0027,0.00,0.00,0.00,0.00,0.00,2.807,0.00,0.00,0.014
-93.76726740,42.01410155,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,8,5/17/2025,1.000,On,1121.2,67.50,-26.87,7.080,10.37,4.295,269.62,19.99,19.76,0,1,57.87,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.953,0.00050,1.976,0.00025,19.39,0.312,0.00,0.00,23.72,0.0030,0.00,0.00,0.00,0.00,0.00,2.767,0.00,0.00,0.016
-93.76730735,42.01410138,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,9,5/17/2025,1.000,On,1121.2,67.50,-26.87,7.338,10.75,4.947,269.00,19.99,19.88,0,1,59.99,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.977,0.00052,1.988,0.00026,19.51,0.325,0.00,0.00,23.86,0.0031,0.00,0.00,0.00,0.00,0.00,2.784,0.00,0.00,0.017
-93.76734940,42.01410105,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,10,5/17/2025,1.000,On,1121.1,67.50,-26.87,7.538,11.05,6.431,268.61,19.99,19.98,0,1,61.62,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.996,0.00053,1.998,0.00027,19.60,0.336,0.00,0.00,23.98,0.0032,0.00,0.00,0.00,0.00,0.00,2.797,0.00,0.00,0.017
-93.76739314,42.01409993,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,11,5/17/2025,1.000,On,1120.8,67.50,-26.87,7.979,11.68,4.718,269.46,19.99,19.81,0,1,65.16,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.961,0.00056,1.981,0.00028,19.43,0.352,0.00,0.00,23.77,0.0034,0.00,0.00,0.00,0.00,0.00,2.773,0.00,0.00,0.018
-93.76743664,42.01409974,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,12,5/17/2025,1.000,On,1120.6,67.50,-26.87,8.074,11.85,4.504,269.10,19.99,19.88,0,1,66.11,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.975,0.00057,1.988,0.00029,19.50,0.358,0.00,0.00,23.85,0.0034,0.00,0.00,0.00,0.00,0.00,2.783,0.00,0.00,0.018
-93.76748025,42.01409915,S3,TaskName 5/17/2025 (GreenStar 4 Monitor),Outlook/agsaver,13,5/17/2025,1.000,On,1120.6,67.50,-26.87,8.062,11.82,4.845,268.91,19.99,19.92,0,1,65.92,5/17/2025,Good,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.984,0.00057,1.992,0.00028,19.54,0.358,0.00,0.00,23.90,0.0034,0.00,0.00,0.00,0.00,0.00,2.789,0.00,0.00,0.018
